Petty Cash Transactions
Date,Description,Amount (USD),Running Balance (USD)
2024-03-03,Postage,$92.14,$559.55
2024-03-07,Replenishment,$1057.69,$1000.00
2024-03-22,Office supplies,$23.93,$299.04
2024-03-24,Office supplies,$145.64,$651.69
2024-03-30,Replenishment,$0.00,$1000.00
2024-04-19,Employee reimbursement,$31.84,$-57.69
2024-04-23,Office supplies,$106.06,$390.38
2024-05-01,Office supplies,$67.41,$322.97
2024-05-09,Office supplies,$11.01,$-25.85
2024-05-16,Office supplies,$75.06,$797.33
2024-05-21,Employee reimbursement,$35.00,$158.96
2024-05-22,Employee reimbursement,$65.90,$-14.84
2024-05-28,Replenishment,$0.00,$1000.00
2024-06-26,Miscellaneous,$105.08,$193.96
2024-06-29,Employee reimbursement,$127.61,$872.39
2024-07-11,Replenishment,$0.00,$1000.00
2024-07-18,Office supplies,$63.11,$496.44
2024-07-23,Miscellaneous,$107.90,$51.06
